dir,iot,ext,sport,dport,sizeBin,label
1,172.16.2.12,172.16.7.10,6.58490,6.22,M,login
1,172.16.4.5,172.16.5.13,6.47346,6.22,M,login
1,172.16.4.4,172.16.2.3,6.59450,6.22,M,login
1,172.16.2.12,172.16.7.10,6.58982,6.22,M,login
1,172.16.1.8,172.16.6.12,6.50026,6.22,M,login
1,172.16.2.9,172.16.4.8,6.59074,6.22,M,login
1,172.16.5.3,172.16.6.12,6.33948,6.22,M,login
1,172.16.6.9,172.16.1.9,6.43386,6.22,M,login
1,172.16.7.5,192.168.1.6,6.59460,6.22,M,login
1,172.16.7.6,192.168.1.6,6.37598,6.22,M,login
1,172.16.5.5,172.16.6.14,6.38506,6.22,M,login
1,172.16.4.8,192.168.1.6,6.56704,6.22,M,login
1,172.16.7.4,172.16.5.11,6.57756,6.22,M,login
1,172.16.7.6,172.16.6.12,6.51734,6.22,M,login
1,172.16.5.8,172.16.1.9,6.54840,6.22,M,login
1,172.16.3.6,172.16.6.11,6.38232,6.22,M,login
1,172.16.4.14,172.16.1.9,6.38580,6.22,M,login
1,172.16.7.5,192.168.1.6,6.59522,6.22,M,login
1,172.16.7.6,192.168.1.6,6.37094,6.22,M,login
1,172.16.7.6,172.16.4.7,6.42696,6.22,M,login
1,172.16.2.12,172.16.7.10,6.57624,6.22,M,login
1,172.16.4.4,172.16.1.9,6.50520,6.22,M,login
1,172.16.4.9,172.16.5.10,6.41276,6.22,M,login
1,172.16.3.4,172.16.4.7,6.56354,6.22,M,login
1,172.16.7.6,172.16.4.7,6.43236,6.22,M,login
1,172.16.4.11,192.168.1.6,6.46438,6.22,M,login
1,172.16.1.3,172.16.6.11,6.50018,6.22,M,login
1,172.16.5.3,172.16.6.12,6.34044,6.22,M,login
1,172.16.6.4,172.16.5.13,6.38886,6.22,M,login
1,172.16.2.12,192.168.1.41,6.44664,6.22,M,login
1,172.16.4.4,172.16.5.4,6.42178,6.22,M,login
1,172.16.1.3,172.16.7.12,6.55442,6.22,M,login
1,172.16.5.6,172.16.6.14,6.51542,6.22,M,login
1,172.16.3.4,172.16.4.7,6.56672,6.22,M,login
1,172.16.4.4,172.16.1.9,6.50334,6.22,M,login
1,172.16.1.8,172.16.6.12,6.49736,6.22,M,login
1,172.16.4.14,172.16.5.12,6.51810,6.22,M,login
1,172.16.4.5,192.168.1.6,6.39766,6.22,M,login
1,172.16.1.8,192.168.1.6,6.40684,6.22,M,login
1,172.16.1.13,172.16.5.10,6.52932,6.22,M,login
1,172.16.5.8,172.16.1.9,6.54758,6.22,M,login
1,172.16.2.13,172.16.4.10,6.57140,6.22,M,login
1,172.16.5.3,172.16.2.6,6.53482,6.22,M,login
1,172.16.3.4,172.16.4.7,6.55488,6.22,M,login
1,172.16.4.5,192.168.1.6,6.38456,6.22,M,login
1,172.16.1.13,172.16.2.8,6.34366,6.22,M,login
1,172.16.4.9,172.16.5.10,6.41416,6.22,M,login
1,172.16.2.14,172.16.4.7,6.39100,6.22,M,login
1,172.16.7.11,172.16.4.10,6.55424,6.22,M,login
1,172.16.1.12,172.16.6.11,6.58178,6.22,M,login
1,172.16.6.4,172.16.5.13,6.38648,6.22,M,login
1,172.16.3.4,172.16.4.7,6.56902,6.22,M,login
1,172.16.1.3,172.16.6.11,6.50042,6.22,M,login
1,172.16.4.7,192.168.1.41,6.39638,6.22,M,login
1,172.16.5.3,172.16.3.12,6.46618,6.22,M,login
1,172.16.1.3,172.16.7.12,6.55418,6.22,M,login
1,172.16.2.9,172.16.4.8,6.59192,6.22,M,login
1,172.16.4.5,192.168.1.6,6.37892,6.22,M,login
1,172.16.7.12,172.16.4.7,6.42504,6.22,M,login
1,172.16.5.6,172.16.6.14,6.51580,6.22,M,login
1,172.16.3.4,192.168.1.41,6.59288,6.22,M,login
1,172.16.6.4,172.16.4.13,6.39764,6.22,M,login
1,172.16.2.9,192.168.1.41,6.33636,6.22,M,login
1,172.16.7.5,172.16.4.10,6.50008,6.22,M,login
1,172.16.1.8,172.16.5.10,6.39474,6.22,M,login
1,172.16.7.6,172.16.4.7,6.42602,6.22,M,login
1,172.16.3.6,172.16.4.8,6.60888,6.22,M,login
1,172.16.3.12,172.16.5.10,6.34956,6.22,M,login
1,172.16.4.4,172.16.1.9,6.50352,6.22,M,login
1,172.16.1.14,192.168.1.6,6.51610,6.22,M,login
1,172.16.2.9,192.168.1.41,6.33406,6.22,M,login
1,172.16.7.6,192.168.1.6,6.36214,6.22,M,login
1,172.16.3.4,172.16.4.7,6.56252,6.22,M,login
1,172.16.2.3,172.16.7.10,6.42340,6.22,M,login
1,172.16.3.6,172.16.6.11,6.37798,6.22,M,login
1,172.16.1.8,192.168.1.6,6.40274,6.22,M,login
1,172.16.3.4,192.168.1.41,6.58576,6.22,M,login
1,172.16.7.5,192.168.1.6,6.33394,6.22,M,login
1,172.16.7.6,172.16.4.7,6.43738,6.22,M,login
